'TourName', 'TourOperator', 'TourLocation', 'TourStartTime (hhmm)', 'TourEndTime (hhmm)', ? (TourDate), TourTravellers, TourMaxTravellers, TourPrice, 'TourInfo', 'TourKeywords', 'TourImg'
'Horse-riding adventure', 'Kattegat Travel', 'Akureyri', '1400', '1700', ?, 0, 10, 100, 'Ride by the coast on a skeleton horse.', 'Horse Horses Coast Wind Skeletons Blood', null
'Northern lights sail', 'Isafjordur Tours', 'Isafjordur', '2200', '0200', ?, 0, 200, 100, 'Join us on a boat out to sea to see some Northern Lights and chance of whales and puffins.', 'northern light northernlights aurora borealis sea atlantic whales puffins', null
'Horse-riding adventure', 'Kattegat Travel', 'Reykjavik', '1400', '1700', ?, 0, 10, 100, 'You cannot escape the mighty Ivar! Ride by the coast on a skeleton horse.', 'Horse Horses Coast Wind Skeletons Blood', null
'Horse-riding adventure', 'Kattegat Travel', 'Reykjavik', '2000', '2300', ?, 0, 10, 100, 'Embark at a later time! Ride by the coast on a skeleton horse. Chance of northern lights.', 'Horse Horses Coast Wind Skeletons Blood Northern Lights', null
'Northern lights sail', 'Vik Tours', 'Vik', '2200', '0200', ?, 0, 200, 100, 'Yeah, we just copied the idea from someone else. Join us on a boat out to sea to see some Northern Lights and chance of whales and puffins.', 'northern light northernlights aurora borealis sea atlantic whales puffins', null
'Arctic Fox hunt', 'Isafjordur Tours', 'Isafjordur', '0900', '2000', ?, 0, 200, 10000, 'Worth every penny. Be careful not to get bitten by the ferocious fox.', 'nature foxes fox ferocious non-vegan arctic puffins', null
'Survivalist camp', 'Egills Tours', 'Egilstadir', '0900', '9999', ?, 0, 200, 10000, 'Worth every penny. Could go on for days. Be careful not to get eaten by grizzly bears. Hunt for your own food and survive in the woods.', 'nature grizzly bear non-vegan puffins forest survival', null
'Yoga retreat', 'Not Ice Travel', 'Egilstadir', '0700', '9999', ?, 0, 10, 20000, 'Five day trip. Escape the busy city life for a yoga retreat near Egilstadir. Enjoy the fresh air and flaming skies.', 'Yoga retreat nature relax relaxation Northern Lights', null
'North Pole excursion', 'Not Ice Travel', 'Akureyri', '0700', '9999', ?, 0, 10, 20000, 'Five day trip. Embark on a journey of a lifetime. Escape the busy city life for a on a cruise through icebergs that could sink Titanic. Enjoy the fresh air and flaming skies.', 'Glaciers nature excitement North pole goddamn Northern Lights', null
'Over the Glacier', 'Vik Tours', 'Vik', '1000', '1800', ?, 0, 8, 5000, 'Drive over Vatnajokull glacier in a superjeep.', 'glacier cold vatnajokull vatnajökull superjeep super jeep freezing', null
